Time_spent_Alone,Social_event_attendance,Going_outside,Friends_circle_size,Post_frequency,Stage_fear,Drained_after_socializing,Personality
11.11,0.53,9.88,39.21,23.51,Yes,Yes,Extrovert
16.49,0.47,8.26,35.03,22.11,No,Yes,Introvert
17.11,0.25,13.54,38.86,22.03,Yes,No,Introvert
17.77,0.82,12.7,32.67,24.01,No,No,Introvert
13.88,1.94,13.87,31.12,20.76,Yes,Yes,Extrovert
12.92,1.66,14.52,36.58,20.56,Yes,No,Extrovert
13.69,0.15,12.81,26.26,23.44,No,No,Introvert
14.65,0.25,14.48,25.86,23.42,Yes,Yes,Introvert
11.29,0.34,14.86,38.86,16.72,Yes,Yes,Introvert
10.58,0.94,9.0,38.16,19.96,No,Yes,Extrovert
19.42,0.23,10.1,23.17,16.91,Yes,Yes,Introvert
15.68,1.74,13.89,38.3,16.37,Yes,No,Extrovert
16.76,1.94,13.89,31.68,20.9,No,Yes,Extrovert
13.32,0.68,13.16,28.77,24.26,Yes,No,Introvert
16.92,1.7,9.48,28.6,21.86,Yes,Yes,Introvert
11.38,1.37,12.81,20.03,20.9,Yes,Yes,Introvert
16.99,0.21,8.81,33.03,21.44,Yes,Yes,Introvert
18.71,1.43,12.59,25.25,19.4,Yes,Yes,Extrovert
15.49,1.12,8.55,34.46,16.3,Yes,No,Extrovert
13.84,0.81,12.49,25.31,17.44,No,Yes,Introvert
8.71,1.95,8.21,21.53,21.6,Yes,Yes,Introvert
16.22,1.14,14.98,21.22,23.95,Yes,Yes,Introvert
8.68,1.44,8.01,27.31,19.45,No,No,Extrovert
18.79,0.95,8.26,26.41,23.31,Yes,Yes,Introvert
17.29,1.82,8.3,23.67,18.3,No,Yes,Extrovert
17.63,0.52,13.01,20.45,22.36,Yes,Yes,Introvert
8.48,0.36,14.78,31.03,23.99,Yes,No,Extrovert
15.3,0.43,14.69,23.07,23.66,Yes,Yes,Introvert
11.25,0.47,12.28,27.23,15.86,Yes,Yes,Extrovert
10.51,1.77,8.59,27.96,16.31,Yes,Yes,Introvert
14.64,0.66,8.86,20.39,18.73,Yes,No,Introvert
11.79,0.38,13.14,28.6,20.54,Yes,Yes,Extrovert
12.13,1.1,13.51,33.65,24.7,No,Yes,Extrovert
18.31,1.2,10.7,36.82,22.3,Yes,Yes,Extrovert
15.4,1.97,14.1,23.24,17.71,Yes,Yes,Introvert
19.81,1.14,10.98,31.44,19.14,Yes,Yes,Extrovert
19.17,1.7,14.3,39.37,15.17,Yes,Yes,Extrovert
9.97,1.02,9.29,38.01,17.47,Yes,Yes,Introvert
10.54,1.39,13.52,36.59,22.01,Yes,No,Extrovert
10.03,1.73,13.44,21.23,20.39,No,Yes,Introvert
17.86,0.84,14.36,36.81,23.94,Yes,No,Introvert
13.6,0.5,10.71,38.77,23.76,No,Yes,Introvert
17.68,1.87,9.93,28.02,24.64,Yes,Yes,Introvert
16.28,1.36,13.23,24.92,22.54,Yes,No,Extrovert
14.07,0.12,10.25,32.08,15.45,Yes,Yes,Introvert
17.99,0.78,9.45,29.19,21.0,No,Yes,Introvert
13.41,0.25,9.48,28.7,15.95,Yes,No,Introvert
8.24,0.85,13.48,34.72,23.66,No,Yes,Extrovert
19.85,1.44,12.32,37.56,18.67,No,No,Introvert
15.46,1.73,14.81,26.74,16.54,No,Yes,Extrovert
18.49,1.31,12.62,31.78,24.06,Yes,Yes,Extrovert
12.38,1.95,11.31,34.73,23.34,No,Yes,Extrovert
18.23,1.03,9.27,31.88,24.78,Yes,Yes,Extrovert
15.13,0.91,13.58,23.51,16.15,Yes,Yes,Introvert
9.88,1.56,9.83,26.32,22.91,No,No,Extrovert
13.36,0.83,12.51,36.35,15.6,No,Yes,Introvert
19.17,1.83,9.94,34.23,20.82,Yes,Yes,Extrovert
8.82,0.48,11.03,27.46,16.27,Yes,Yes,Extrovert
10.14,1.34,13.8,38.46,17.33,No,No,Introvert
15.96,1.1,12.69,38.53,21.81,Yes,No,Extrovert
14.53,1.3,9.89,28.96,20.61,Yes,No,Extrovert
9.35,0.57,10.57,29.31,20.59,Yes,Yes,Extrovert
16.72,1.23,13.7,35.45,20.09,Yes,Yes,Extrovert
9.85,1.92,8.66,31.44,22.97,No,Yes,Extrovert
18.99,0.25,10.82,33.52,18.77,Yes,Yes,Introvert
12.85,0.06,12.94,38.22,23.6,No,Yes,Introvert
10.24,1.23,8.39,27.7,21.51,No,Yes,Extrovert
18.6,0.08,14.06,32.75,17.85,Yes,No,Introvert
10.07,1.83,14.88,37.64,15.44,Yes,No,Extrovert
16.34,0.16,12.07,30.09,22.88,No,Yes,Introvert
11.2,0.78,14.81,21.91,23.43,Yes,Yes,Extrovert
9.3,0.69,12.59,21.77,21.98,Yes,No,Introvert
18.64,0.0,9.42,34.32,18.25,Yes,No,Introvert
18.3,0.96,13.27,37.71,16.59,Yes,Yes,Introvert
18.9,0.46,12.7,29.44,18.4,No,No,Introvert
14.05,0.25,11.63,26.09,24.72,No,No,Introvert
9.03,1.91,12.96,27.17,20.07,No,No,Extrovert
15.46,0.81,9.99,39.5,22.47,Yes,Yes,Introvert
8.78,1.97,11.05,25.11,18.54,Yes,Yes,Extrovert
14.62,1.96,10.44,27.36,24.65,Yes,Yes,Extrovert
15.4,0.11,8.95,38.76,18.89,Yes,Yes,Introvert
16.21,0.75,14.11,34.88,24.4,Yes,No,Introvert
8.36,0.85,12.06,20.28,16.39,No,Yes,Extrovert
12.16,1.4,14.55,22.36,15.54,Yes,Yes,Introvert
15.38,0.24,14.75,29.54,21.98,Yes,No,Introvert
16.71,0.0,9.34,20.49,15.59,Yes,No,Introvert
18.86,1.91,12.34,32.19,15.68,Yes,Yes,Extrovert
9.31,1.68,9.52,34.56,16.05,Yes,Yes,Extrovert
10.01,0.04,10.11,37.45,18.45,Yes,No,Extrovert
18.33,0.56,13.18,30.32,21.11,Yes,Yes,Introvert
11.9,1.24,10.31,23.89,18.0,Yes,Yes,Extrovert
17.98,1.86,13.91,23.52,22.01,No,No,Extrovert
19.61,1.04,8.44,35.89,17.72,No,Yes,Extrovert
8.94,1.02,12.8,36.52,17.66,No,No,Introvert
14.25,1.52,14.36,36.18,19.17,Yes,Yes,Extrovert
17.34,0.16,10.96,25.87,18.04,No,Yes,Introvert
15.39,1.28,8.03,20.17,17.64,Yes,Yes,Extrovert
9.58,1.63,12.34,25.96,23.82,Yes,Yes,Extrovert
16.73,0.79,14.9,38.33,23.71,Yes,Yes,Introvert
13.3,1.2,8.52,23.8,24.76,Yes,Yes,Introvert
13.43,0.15,13.56,30.7,16.25,Yes,Yes,Introvert
14.34,0.35,14.78,29.78,22.04,Yes,No,Introvert
8.27,1.49,14.21,23.06,20.42,Yes,Yes,Extrovert
10.23,1.1,10.8,24.25,19.09,Yes,Yes,Introvert
10.96,0.03,8.07,20.29,20.38,Yes,Yes,Extrovert
15.52,1.81,13.6,35.22,17.99,Yes,Yes,Introvert
10.65,0.34,8.23,25.12,17.06,No,Yes,Introvert
15.8,1.91,9.49,29.35,17.25,Yes,Yes,Extrovert
11.97,0.41,12.1,35.44,17.39,Yes,Yes,Introvert
12.73,0.71,12.87,24.9,16.01,Yes,Yes,Introvert
18.09,1.22,12.11,35.36,15.9,Yes,No,Introvert
17.09,0.33,8.65,38.49,19.53,Yes,No,Introvert
11.26,0.08,8.53,29.63,17.75,Yes,Yes,Introvert
19.81,0.76,11.55,39.97,15.3,No,Yes,Introvert
13.04,0.84,8.33,35.57,23.33,Yes,Yes,Introvert
17.68,1.93,11.99,34.92,18.22,Yes,Yes,Extrovert
9.71,0.84,13.35,37.82,17.52,Yes,No,Extrovert
15.84,0.62,11.28,32.46,21.75,Yes,Yes,Introvert
13.72,1.7,8.97,38.03,21.28,Yes,Yes,Extrovert
18.32,0.57,14.61,36.45,20.13,Yes,No,Introvert
14.9,0.88,12.01,29.28,24.68,Yes,Yes,Introvert
11.49,1.83,13.79,29.16,21.42,Yes,No,Introvert
8.43,0.97,10.75,30.54,22.14,Yes,Yes,Extrovert
10.3,0.17,10.67,25.58,16.58,Yes,No,Introvert
8.93,1.75,14.97,26.39,23.01,Yes,Yes,Extrovert
11.37,0.17,8.73,22.56,19.36,Yes,No,Introvert
11.61,0.72,13.75,22.47,24.72,Yes,Yes,Extrovert
14.42,1.09,12.96,20.03,16.94,Yes,Yes,Extrovert
9.82,1.46,12.17,38.71,22.7,Yes,Yes,Extrovert
10.0,1.14,8.88,25.27,19.84,No,Yes,Introvert
10.13,0.13,13.99,36.01,18.52,Yes,Yes,Introvert
9.43,1.18,13.83,22.4,17.69,Yes,Yes,Introvert
10.42,1.31,13.49,24.71,23.79,Yes,Yes,Extrovert
8.4,0.05,11.04,22.69,16.4,Yes,Yes,Extrovert
14.64,1.91,12.53,38.77,24.79,Yes,Yes,Extrovert
10.22,1.18,11.07,36.0,24.33,No,Yes,Extrovert
15.08,0.4,11.38,36.66,23.23,Yes,Yes,Introvert
15.08,1.78,9.01,34.46,21.94,Yes,Yes,Extrovert
8.83,1.46,11.4,21.93,17.94,Yes,Yes,Introvert
12.6,0.96,8.21,30.07,17.95,Yes,Yes,Introvert
18.03,1.27,9.95,20.66,16.34,Yes,Yes,Introvert
15.53,1.33,14.44,23.82,21.24,No,Yes,Extrovert
15.62,1.65,8.22,21.12,21.65,Yes,Yes,Introvert
16.39,0.32,11.09,36.55,23.54,No,Yes,Introvert
18.87,1.3,11.92,39.09,24.33,Yes,No,Extrovert
14.91,1.73,9.82,25.52,18.02,No,No,Extrovert
17.36,0.58,12.57,30.63,19.07,Yes,Yes,Introvert
19.44,0.74,13.53,28.01,22.84,No,Yes,Introvert
13.92,1.71,8.94,25.62,16.87,Yes,Yes,Extrovert
9.18,1.4,10.16,32.3,16.83,Yes,Yes,Extrovert
15.92,1.78,14.87,32.17,24.01,Yes,No,Extrovert
16.7,1.53,12.08,23.27,17.51,Yes,Yes,Extrovert
18.96,1.15,10.27,31.93,24.89,Yes,Yes,Extrovert
16.11,0.11,11.87,34.88,17.88,Yes,Yes,Introvert
8.58,0.19,9.71,28.58,18.16,Yes,No,Extrovert
13.4,0.01,11.42,21.8,19.05,Yes,Yes,Introvert
18.18,1.32,8.05,28.3,21.79,Yes,Yes,Extrovert
15.38,0.45,13.1,26.25,24.41,Yes,Yes,Introvert
10.9,1.0,14.81,32.83,15.7,No,Yes,Extrovert
10.3,1.54,14.39,25.31,24.55,No,No,Introvert
12.17,1.22,8.79,28.36,22.81,Yes,Yes,Extrovert
8.9,1.68,14.62,29.72,16.49,Yes,Yes,Extrovert
8.01,1.43,10.99,23.72,22.0,Yes,No,Extrovert
17.87,1.77,14.12,35.72,18.0,Yes,Yes,Extrovert
14.26,0.62,13.63,20.66,17.78,Yes,Yes,Introvert
10.05,0.4,12.13,26.91,18.37,No,No,Introvert
12.83,1.77,10.14,21.35,17.85,Yes,Yes,Introvert
13.81,1.8,14.75,39.68,23.79,Yes,No,Extrovert
10.5,1.06,13.16,24.9,24.71,Yes,Yes,Introvert
15.85,1.12,9.88,21.07,22.08,Yes,No,Introvert
11.23,1.12,9.94,26.91,22.25,Yes,Yes,Extrovert
12.96,1.94,13.0,30.42,18.34,Yes,Yes,Extrovert
12.44,1.69,9.5,32.05,22.23,Yes,Yes,Extrovert
14.72,0.11,9.99,29.26,20.79,No,No,Introvert
13.41,1.05,10.08,26.84,17.15,Yes,Yes,Extrovert
17.24,0.98,12.21,26.03,16.86,Yes,Yes,Introvert
13.06,0.31,9.42,32.04,23.15,Yes,No,Introvert
17.04,0.53,14.19,20.64,19.8,No,Yes,Introvert
14.58,0.7,14.34,29.02,20.3,Yes,Yes,Introvert
14.19,1.74,14.04,25.58,24.8,Yes,Yes,Extrovert
16.09,0.3,10.12,37.92,22.28,Yes,Yes,Introvert
13.53,1.81,8.47,31.35,21.62,Yes,Yes,Extrovert
13.31,0.89,10.69,29.67,16.24,Yes,Yes,Introvert
15.8,1.76,11.63,22.11,24.88,Yes,No,Introvert
14.75,0.75,11.69,21.64,17.7,No,Yes,Introvert
9.05,1.44,12.95,28.03,22.8,Yes,No,Introvert
8.33,1.73,13.1,28.21,20.31,Yes,Yes,Extrovert
15.75,1.76,12.73,21.11,16.62,Yes,Yes,Extrovert
16.71,0.54,14.8,27.37,18.63,No,Yes,Introvert
11.16,0.78,11.11,35.86,21.04,Yes,Yes,Extrovert
19.7,1.07,13.61,22.27,15.94,Yes,Yes,Extrovert
19.53,0.63,8.5,27.89,19.75,Yes,Yes,Introvert
11.87,1.01,13.89,31.78,23.12,Yes,Yes,Extrovert
16.28,0.3,8.88,26.04,24.68,Yes,Yes,Introvert
10.03,1.59,13.54,25.08,20.12,Yes,Yes,Introvert
13.41,1.23,8.78,23.86,15.97,Yes,Yes,Introvert
9.28,0.3,14.67,28.55,20.83,Yes,Yes,Extrovert
18.82,1.21,14.32,20.85,19.38,Yes,Yes,Introvert
12.37,1.55,8.56,20.55,18.91,Yes,Yes,Extrovert
19.53,0.48,10.12,24.67,22.33,Yes,Yes,Introvert
8.22,1.22,14.09,39.13,17.68,Yes,Yes,Extrovert
13.5,1.16,9.28,37.98,19.11,Yes,Yes,Introvert
17.87,0.84,14.8,23.2,16.61,No,Yes,Introvert
14.02,1.09,13.58,24.73,21.57,No,No,Extrovert
14.01,0.32,13.38,30.78,23.05,Yes,No,Introvert
14.55,0.56,14.07,22.21,20.9,Yes,Yes,Introvert
10.0,0.07,11.31,32.79,22.5,No,Yes,Extrovert
10.54,0.64,9.95,29.93,16.21,Yes,No,Extrovert
12.49,0.82,12.59,23.03,20.7,Yes,Yes,Introvert
13.28,1.65,12.03,32.99,15.54,Yes,Yes,Introvert
19.65,1.0,13.57,32.32,20.1,Yes,Yes,Extrovert
8.48,0.91,8.16,27.96,19.11,No,Yes,Introvert
8.95,1.51,10.07,20.81,18.32,Yes,Yes,Introvert
13.12,0.9,13.78,28.47,20.0,Yes,Yes,Introvert
15.52,1.95,10.67,35.34,20.24,Yes,No,Extrovert
10.93,0.75,12.88,28.5,22.47,Yes,Yes,Introvert
9.97,0.55,9.38,32.67,16.56,Yes,No,Extrovert
19.14,1.71,10.26,20.89,23.83,Yes,Yes,Extrovert
12.46,1.48,10.68,37.61,17.02,No,Yes,Extrovert
9.91,1.58,9.38,25.52,23.09,Yes,Yes,Extrovert
15.26,1.07,11.99,26.07,24.14,Yes,Yes,Introvert
9.66,0.6,14.95,31.56,22.91,Yes,Yes,Extrovert
18.74,1.61,14.64,22.81,17.27,Yes,No,Extrovert
12.49,1.89,10.43,21.18,24.59,Yes,Yes,Introvert
12.37,0.2,8.75,31.97,15.22,No,Yes,Introvert
15.39,1.7,13.89,34.41,23.93,Yes,No,Extrovert
8.09,1.93,14.14,36.42,24.46,Yes,No,Extrovert
11.74,1.77,10.88,27.11,16.89,Yes,No,Extrovert
15.54,0.15,12.71,39.55,23.62,Yes,Yes,Introvert
17.25,1.68,8.25,34.99,23.32,Yes,No,Extrovert
8.54,0.02,11.3,36.14,24.46,Yes,Yes,Extrovert
10.13,2.0,8.81,26.7,16.58,Yes,No,Extrovert
15.08,0.08,13.87,37.75,21.14,Yes,Yes,Introvert
16.84,1.05,10.11,31.08,22.8,Yes,No,Extrovert
9.54,1.48,8.84,31.61,18.74,Yes,Yes,Introvert
16.36,1.13,14.29,35.57,24.69,No,Yes,Extrovert
11.91,1.18,11.2,25.77,20.62,Yes,Yes,Introvert
12.96,1.59,12.94,38.31,20.96,Yes,Yes,Extrovert
12.0,1.58,9.41,23.75,24.19,Yes,Yes,Introvert
12.35,0.0,8.0,35.26,16.99,Yes,Yes,Introvert
15.56,0.7,14.14,25.54,24.26,Yes,Yes,Introvert
18.52,0.8,13.14,32.98,24.39,Yes,No,Introvert
19.64,0.38,11.81,25.36,21.14,Yes,Yes,Introvert
19.2,1.38,13.52,39.43,20.2,Yes,Yes,Extrovert
13.26,1.82,8.97,31.27,18.71,Yes,No,Introvert
15.06,0.04,14.48,24.59,21.17,No,Yes,Introvert
13.87,0.36,11.93,32.98,15.38,Yes,Yes,Introvert
14.67,1.35,8.22,39.57,15.48,No,No,Extrovert
16.62,1.82,11.0,33.88,17.13,Yes,Yes,Introvert
12.98,0.86,12.48,33.94,19.26,Yes,No,Introvert
8.47,1.93,11.96,34.8,15.32,Yes,No,Introvert
9.64,0.6,9.35,33.99,23.29,Yes,Yes,Extrovert
11.66,0.83,12.83,21.85,15.29,Yes,No,Introvert
11.4,0.57,12.5,29.55,18.23,Yes,No,Extrovert
17.57,0.45,14.26,27.07,23.81,Yes,Yes,Introvert
14.02,0.33,9.3,35.53,22.04,Yes,No,Introvert
9.48,0.87,9.35,29.63,24.37,Yes,Yes,Extrovert
15.45,1.29,12.97,27.61,21.46,Yes,Yes,Introvert
17.36,1.12,11.81,30.68,24.87,Yes,No,Extrovert
9.32,0.9,8.33,22.39,19.58,Yes,No,Extrovert
18.79,1.96,13.17,22.93,18.18,No,No,Introvert
10.52,0.76,14.98,38.24,15.84,Yes,Yes,Introvert
19.61,1.21,11.75,39.33,21.59,Yes,No,Extrovert
10.64,1.17,11.19,22.82,18.62,Yes,Yes,Introvert
18.49,0.55,14.38,38.63,20.94,No,Yes,Introvert
15.69,1.85,11.64,27.34,23.8,Yes,Yes,Extrovert
15.2,1.69,8.62,30.05,23.07,Yes,No,Extrovert
16.81,1.3,12.91,22.8,23.81,Yes,No,Extrovert
17.27,1.98,12.87,39.48,20.12,Yes,Yes,Extrovert
18.34,1.23,11.12,38.11,24.28,Yes,Yes,Extrovert
11.13,1.67,14.32,27.07,23.29,No,Yes,Extrovert
18.04,1.65,10.87,21.97,20.72,No,No,Extrovert
15.46,1.27,14.18,38.54,23.17,Yes,No,Extrovert
14.7,1.5,11.03,35.82,20.86,No,No,Extrovert
14.68,0.32,12.43,35.02,19.89,Yes,Yes,Introvert
15.96,0.25,10.8,33.43,21.63,Yes,Yes,Introvert
8.26,1.71,12.57,24.09,17.62,Yes,Yes,Introvert
18.77,0.23,11.91,31.82,18.17,Yes,Yes,Introvert
9.06,0.02,14.74,23.8,18.3,Yes,Yes,Introvert
15.15,1.25,14.24,25.1,15.65,Yes,Yes,Extrovert
13.45,0.67,11.95,35.87,21.25,Yes,Yes,Introvert
14.03,1.03,8.8,20.54,19.74,Yes,Yes,Introvert
13.58,0.49,9.18,29.3,20.34,No,Yes,Introvert
15.25,0.29,14.63,31.69,21.71,Yes,Yes,Introvert
8.02,0.18,8.26,28.95,15.37,No,No,Extrovert
15.68,0.1,11.92,37.19,24.31,Yes,Yes,Introvert
19.58,1.21,10.96,31.76,20.87,No,No,Extrovert
19.32,1.28,13.58,28.41,24.13,Yes,Yes,Introvert
14.42,0.09,14.12,23.63,23.96,Yes,Yes,Introvert
14.43,0.6,10.75,38.8,22.79,Yes,Yes,Introvert
8.38,1.23,10.96,23.09,18.43,Yes,Yes,Introvert
10.44,1.85,13.32,32.53,23.34,Yes,Yes,Extrovert
15.42,1.05,9.18,25.59,17.74,Yes,Yes,Introvert
13.82,0.38,12.34,26.59,18.4,Yes,No,Introvert
18.28,0.59,8.63,21.24,16.48,Yes,Yes,Introvert
15.58,1.72,10.43,33.32,16.9,Yes,Yes,Introvert
13.23,0.74,10.99,31.51,18.21,Yes,No,Introvert
12.41,1.59,8.51,22.53,16.33,No,Yes,Introvert
15.48,0.95,9.09,38.88,16.27,Yes,Yes,Introvert
12.89,1.22,10.28,31.36,16.63,No,Yes,Introvert
11.88,0.46,8.93,23.93,23.55,No,Yes,Introvert
14.74,0.96,12.46,37.98,23.51,Yes,No,Introvert
13.63,0.13,14.12,34.21,22.61,No,No,Introvert
12.82,0.72,12.22,23.82,17.97,Yes,Yes,Introvert
14.44,1.63,13.16,25.54,15.39,Yes,Yes,Extrovert
15.41,0.49,14.18,33.89,17.28,Yes,Yes,Introvert
12.56,1.95,9.12,38.77,15.88,Yes,Yes,Extrovert
14.1,0.02,12.44,25.8,16.67,No,Yes,Introvert
19.41,1.04,13.87,24.38,19.39,Yes,Yes,Introvert
18.86,0.84,12.1,33.57,24.59,Yes,Yes,Introvert
15.36,1.64,11.09,35.53,20.44,Yes,Yes,Extrovert
9.0,0.14,10.58,33.28,18.68,Yes,No,Extrovert
8.15,1.53,10.0,28.28,17.77,Yes,Yes,Introvert
12.67,1.0,8.25,31.07,18.09,No,Yes,Extrovert
19.08,0.28,11.03,25.31,22.12,Yes,No,Introvert
8.34,1.64,9.82,27.95,19.41,Yes,Yes,Extrovert
18.68,1.66,13.09,23.97,21.01,Yes,No,Extrovert
11.72,1.28,12.09,37.23,22.73,Yes,Yes,Extrovert
10.47,0.69,9.57,27.26,20.13,Yes,Yes,Introvert
9.89,1.4,11.63,38.72,23.44,Yes,Yes,Extrovert
17.49,1.23,13.59,27.93,24.75,No,Yes,Introvert
16.73,0.51,8.72,38.44,22.44,No,Yes,Introvert
8.5,1.58,12.64,22.8,18.9,Yes,No,Extrovert
8.03,1.35,11.07,28.04,15.52,Yes,Yes,Extrovert
13.31,1.04,13.07,24.18,19.58,Yes,Yes,Extrovert
19.77,1.59,14.06,38.66,23.41,Yes,Yes,Extrovert
19.15,1.36,12.97,39.25,24.08,Yes,Yes,Extrovert
18.64,0.12,13.51,25.9,19.38,Yes,Yes,Introvert
14.28,1.38,14.51,23.0,21.09,Yes,Yes,Introvert
10.28,1.27,10.1,32.11,16.28,Yes,Yes,Introvert
8.91,1.18,10.69,21.56,23.81,No,Yes,Extrovert
12.61,0.85,12.93,35.51,24.81,No,Yes,Introvert
14.31,0.03,8.77,36.92,17.38,Yes,Yes,Introvert
8.22,1.05,14.68,25.71,24.2,Yes,Yes,Extrovert
11.88,1.82,10.88,35.47,24.39,Yes,Yes,Extrovert
9.74,0.09,12.54,20.54,23.23,Yes,Yes,Introvert
8.98,0.53,12.42,24.33,19.52,Yes,Yes,Extrovert
12.44,0.39,10.74,39.32,18.54,No,No,Introvert
18.21,0.88,14.73,31.69,20.19,Yes,Yes,Introvert
19.65,1.73,13.53,23.92,16.67,No,No,Extrovert
13.09,1.23,11.94,30.0,21.09,Yes,Yes,Extrovert
10.31,1.11,8.8,22.35,21.99,Yes,No,Introvert
13.22,1.84,11.72,30.37,15.47,Yes,Yes,Introvert
15.11,0.67,12.21,37.81,16.93,Yes,Yes,Introvert
10.47,1.19,10.46,35.87,23.84,Yes,Yes,Extrovert
16.45,0.35,12.61,39.56,24.47,Yes,Yes,Introvert
9.28,1.51,14.73,27.02,16.62,Yes,Yes,Extrovert
13.41,0.55,9.1,22.63,17.11,Yes,Yes,Introvert
18.13,1.74,14.01,36.36,24.19,No,Yes,Extrovert
16.82,0.49,9.35,29.52,17.92,Yes,Yes,Introvert
19.45,0.97,10.41,29.48,17.5,No,Yes,Introvert
10.01,1.22,14.63,29.4,16.34,No,Yes,Extrovert
16.78,1.64,11.1,28.83,17.56,Yes,Yes,Introvert
11.82,0.09,8.77,34.85,21.42,No,No,Extrovert
12.78,1.73,8.59,25.65,20.18,No,Yes,Extrovert
14.83,0.41,8.3,27.93,20.81,Yes,Yes,Introvert
18.44,0.03,8.32,31.7,21.01,Yes,Yes,Introvert
15.31,1.68,12.04,38.5,17.67,Yes,Yes,Extrovert
10.4,0.51,8.13,30.85,18.3,No,No,Introvert
14.02,1.65,9.27,37.32,17.27,Yes,Yes,Extrovert
10.16,1.82,11.43,39.83,24.16,Yes,Yes,Extrovert
8.23,1.6,11.29,26.33,21.59,No,Yes,Extrovert
17.93,1.71,13.8,22.31,17.53,No,Yes,Extrovert
15.51,0.05,10.28,37.62,23.86,Yes,Yes,Introvert
14.96,1.27,10.65,26.99,20.57,No,Yes,Extrovert
18.52,0.28,13.64,38.6,15.54,Yes,No,Introvert
14.29,1.62,9.86,35.87,16.37,Yes,Yes,Extrovert
18.16,1.11,14.26,23.91,24.22,Yes,No,Extrovert
19.5,1.22,12.14,33.66,18.98,Yes,No,Introvert
9.92,0.13,11.67,30.63,22.02,Yes,Yes,Extrovert
10.66,0.74,14.02,27.78,19.26,Yes,Yes,Extrovert
12.94,0.17,9.79,22.91,18.27,Yes,Yes,Introvert
10.25,1.44,10.79,36.55,23.67,Yes,No,Extrovert
17.5,0.99,11.85,26.75,21.25,No,Yes,Introvert
13.92,0.04,11.14,30.78,16.62,Yes,No,Introvert
16.99,0.59,8.51,36.3,17.85,Yes,Yes,Introvert
14.73,1.98,9.05,31.62,23.66,Yes,Yes,Extrovert
11.01,0.81,11.33,29.82,24.22,Yes,No,Introvert
19.88,1.2,9.42,37.86,17.83,Yes,Yes,Introvert
19.18,1.48,10.08,37.22,16.03,Yes,Yes,Introvert
8.73,0.26,9.06,37.2,16.87,Yes,Yes,Extrovert
18.72,1.45,14.75,30.79,17.78,Yes,Yes,Extrovert
12.28,0.26,10.6,28.68,15.84,Yes,No,Introvert
9.27,1.92,14.73,36.63,20.54,Yes,No,Extrovert
13.1,1.37,8.63,33.4,23.2,Yes,Yes,Extrovert
8.48,0.16,9.89,25.17,17.05,Yes,Yes,Extrovert
15.9,1.69,14.69,32.64,20.89,Yes,Yes,Extrovert
18.5,0.52,9.77,20.48,19.57,Yes,Yes,Introvert
8.29,0.1,8.07,30.52,19.23,Yes,Yes,Extrovert
16.55,1.08,12.89,34.81,17.55,Yes,Yes,Introvert
11.48,1.39,12.38,36.98,15.98,Yes,Yes,Introvert
9.7,0.3,11.22,32.8,16.16,No,No,Introvert
16.66,0.18,12.08,32.16,15.91,Yes,No,Introvert
14.89,1.86,11.44,23.22,22.77,No,No,Extrovert
10.54,1.29,14.31,38.93,15.5,Yes,Yes,Introvert
16.0,0.51,11.62,33.66,16.68,Yes,No,Introvert
13.36,1.54,8.06,21.35,19.88,Yes,Yes,Introvert
15.79,1.02,13.9,28.92,21.07,Yes,Yes,Extrovert
9.51,0.91,12.3,35.58,22.85,Yes,Yes,Extrovert
15.31,0.87,14.09,23.26,19.41,Yes,Yes,Introvert
18.65,1.53,12.16,24.0,24.59,No,Yes,Extrovert
11.23,0.8,8.06,22.16,23.62,Yes,No,Extrovert
18.16,1.54,10.69,37.96,16.85,Yes,No,Extrovert
13.08,0.07,14.56,26.52,24.1,Yes,No,Introvert
8.47,1.16,9.61,30.94,17.88,Yes,No,Extrovert
17.16,0.88,9.65,25.4,16.8,Yes,Yes,Introvert
16.8,0.47,11.46,24.55,18.16,Yes,Yes,Introvert
12.14,1.88,9.37,37.1,23.12,Yes,Yes,Extrovert
16.32,0.07,9.76,34.95,20.91,Yes,Yes,Introvert
15.11,0.74,8.13,25.01,17.6,Yes,Yes,Introvert
11.61,0.74,12.46,30.37,23.36,Yes,Yes,Extrovert
17.7,1.55,10.06,35.85,22.6,Yes,No,Extrovert
18.72,0.83,9.54,35.26,24.83,No,Yes,Introvert
11.96,0.31,14.05,20.2,15.09,No,Yes,Introvert
18.19,1.58,13.41,30.91,24.98,Yes,Yes,Extrovert
16.82,0.8,12.36,25.5,17.51,Yes,No,Introvert
17.88,0.14,14.52,36.27,23.93,Yes,Yes,Introvert
14.22,1.31,13.88,25.37,20.83,Yes,Yes,Introvert
9.47,0.29,12.64,26.49,23.18,Yes,No,Extrovert
15.56,1.59,13.54,33.18,18.73,Yes,Yes,Introvert
10.97,0.3,9.18,39.37,22.2,No,No,Extrovert
17.01,1.6,13.29,25.72,24.23,Yes,Yes,Introvert
9.79,1.4,9.37,20.35,18.08,No,Yes,Extrovert
18.03,0.57,9.36,37.51,16.73,Yes,No,Introvert
11.91,0.24,11.38,25.45,18.77,Yes,Yes,Introvert
9.89,0.74,9.34,21.43,20.59,Yes,Yes,Extrovert
18.19,0.3,10.58,20.76,24.16,Yes,Yes,Introvert
16.0,1.16,11.45,38.29,22.37,Yes,Yes,Extrovert
18.46,0.26,13.64,25.21,22.5,Yes,Yes,Introvert
